iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,563,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"GLPI","GAMING AND LEISURE PROPERTIES REIT","EQUITY","Real Estate","Equity","422,779,064.40","422,779,064.40","9,151,062.00","46.20","United States","NASDAQ","USD","1.00","USD","-","0.38","0.38"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","EQUITY","Real Estate","Equity","421,043,125.84","421,043,125.84","6,267,388.00","67.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"OVV","OVINTIV INC","EQUITY","Energy","Equity","417,248,865.59","417,248,865.59","9,076,547.00","45.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"DCI","DONALDSON INC","EQUITY","Industrials","Equity","411,776,641.98","411,776,641.98","3,745,467.00","109.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.37","0.37"
"CCK","CROWN HOLDINGS INC","EQUITY","Materials","Equity","406,988,722.14","406,988,722.14","3,686,826.00","110.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.37","0.37"
"CACI","CACI INTERNATIONAL INC CLASS A","EQUITY","Industrials","Equity","400,842,003.63","400,842,003.63","714,017.00","561.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.36","0.36"
"EVR","EVERCORE INC CLASS A","EQUITY","Financials","Equity","399,165,172.95","399,165,172.95","1,250,635.00","319.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.36","0.36"
"ENSG","ENSIGN GROUP INC","EQUITY","Health Care","Equity","398,762,934.15","398,762,934.15","1,859,815.00","214.41","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"ELAN","ELANCO ANIMAL HEALTH INC","EQUITY","Health Care","Equity","398,277,900.09","398,277,900.09","16,066,071.00","24.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.36","0.36"
"NBIX","NEUROCRINE BIOSCIENCES INC","EQUITY","Health Care","Equity","396,876,246.50","396,876,246.50","3,224,015.00","123.10","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
